赛季,联赛,轮次,主队,客队,主队进球,客队进球,主队半场进球,客队半场进球
2015,5,1,里昂,洛里昂,0,0,0,0
2015,5,1,波尔多,兰斯,1,2,1,0
2015,5,1,图卢兹,圣埃蒂安,2,1,1,1
2015,5,1,马赛,卡昂,0,1,0,1
2015,5,1,特鲁瓦,阿雅克肖GFC,0,0,0,0
2015,5,1,巴斯蒂亚,雷恩,2,1,0,1
2015,5,1,南特,甘冈,1,0,0,0
2015,5,1,尼斯,摩纳哥,1,2,1,0
2015,5,1,蒙彼利埃,昂热,0,2,0,1
2015,5,5,马赛,巴斯蒂亚,4,1,1,0
2015,5,3,马赛,特鲁瓦,6,0,1,0
2015,5,7,里尔,南特,0,1,0,1
2015,5,4,摩纳哥,巴黎圣日尔曼,0,3,0,0
2015,5,2,巴黎圣日尔曼,阿雅克肖GFC,2,0,2,0
2015,5,6,马赛,里昂,1,1,0,1
2015,5,1,里尔,巴黎圣日尔曼,0,1,0,0
2015,5,5,南特,雷恩,0,2,0,0
2015,5,5,阿雅克肖GFC,摩纳哥,0,1,0,1
2015,5,5,特鲁瓦,卡昂,1,3,0,2
2015,5,5,蒙彼利埃,圣埃蒂安,1,2,0,1
2015,5,5,尼斯,甘冈,0,1,0,0
2015,5,5,图卢兹,兰斯,2,2,2,0
2015,5,5,洛里昂,昂热,3,1,0,1
2015,5,5,里昂,里尔,0,0,0,0
2015,5,5,巴黎圣日尔曼,波尔多,2,2,2,1
2015,5,3,洛里昂,圣埃蒂安,0,1,0,0
2015,5,3,里尔,波尔多,0,0,0,0
2015,5,3,尼斯,卡昂,2,1,0,0
2015,5,3,南特,兰斯,1,0,0,0
2015,5,7,蒙彼利埃,摩纳哥,2,3,2,0
2015,5,7,图卢兹,马赛,1,1,0,0
2015,5,7,洛里昂,卡昂,2,0,2,0
2015,5,7,阿雅克肖GFC,雷恩,1,1,1,0
2015,5,7,尼斯,波尔多,6,1,2,1
2015,5,7,里昂,巴斯蒂亚,2,0,1,0
2015,5,7,特鲁瓦,圣埃蒂安,0,1,0,1
2015,5,7,巴黎圣日尔曼,甘冈,3,0,1,0
2015,5,4,波尔多,南特,2,0,1,0
2015,5,4,圣埃蒂安,巴斯蒂亚,2,1,1,1
2015,5,4,兰斯,洛里昂,4,1,1,0
2015,5,4,特鲁瓦,蒙彼利埃,0,0,0,0
2015,5,4,昂热,尼斯,1,1,1,0
2015,5,4,里尔,阿雅克肖GFC,1,0,1,0
2015,5,2,洛里昂,巴斯蒂亚,1,1,0,1
2015,5,2,兰斯,马赛,1,0,1,0
2015,5,2,卡昂,图卢兹,1,0,0,0
2015,5,2,雷恩,蒙彼利埃,1,0,0,0
2015,5,2,特鲁瓦,尼斯,3,3,1,3
2015,5,2,昂热,南特,0,0,0,0
2015,5,2,甘冈,里昂,0,1,0,0
2015,5,2,圣埃蒂安,波尔多,1,1,0,0
2015,5,6,圣埃蒂安,南特,2,0,1,0
2015,5,6,摩纳哥,洛里昂,2,3,1,2
2015,5,6,波尔多,图卢兹,1,1,0,1
2015,5,6,昂热,特鲁瓦,1,0,0,0
2015,5,6,巴斯蒂亚,尼斯,1,3,1,2
2015,5,6,甘冈,阿雅克肖GFC,2,1,1,1
2015,5,6,卡昂,蒙彼利埃,2,1,1,1
2015,5,6,兰斯,巴黎圣日尔曼,1,1,0,0
2015,5,3,巴斯蒂亚,甘冈,3,0,2,0
2015,5,3,图卢兹,摩纳哥,1,1,1,0
2015,5,3,阿雅克肖GFC,昂热,0,2,0,2
2015,5,3,里昂,雷恩,1,2,1,1
2015,5,3,蒙彼利埃,巴黎圣日尔曼,0,1,0,0
2015,5,7,昂热,兰斯,0,0,0,0
2015,5,4,雷恩,图卢兹,3,1,1,1
2015,5,4,卡昂,里昂,0,4,0,2
2015,5,4,甘冈,马赛,2,0,0,0
2015,5,2,摩纳哥,里尔,0,0,0,0
2015,5,6,雷恩,里尔,1,1,0,0
2015,5,10,雷恩,尼斯,1,4,0,1
2015,5,10,波尔多,蒙彼利埃,0,0,0,0
2015,5,10,马赛,洛里昂,1,1,1,1
2015,5,10,兰斯,卡昂,0,1,0,0
2015,5,10,圣埃蒂安,阿雅克肖GFC,2,0,1,0
2015,5,10,南特,特鲁瓦,3,0,1,0
2015,5,10,甘冈,里尔,1,1,1,1
2015,5,10,图卢兹,昂热,1,2,1,2
2015,5,11,巴黎圣日尔曼,圣埃蒂安,4,1,1,0
2015,5,9,尼斯,南特,1,2,1,1
2015,5,12,南特,马赛,0,1,0,0
2015,5,13,里昂,圣埃蒂安,3,0,1,0
2015,5,8,圣埃蒂安,尼斯,1,4,1,3
2015,5,14,圣埃蒂安,马赛,0,2,0,1
2015,5,10,巴斯蒂亚,巴黎圣日尔曼,0,2,0,0
2015,5,10,摩纳哥,里昂,1,1,1,0
2015,5,11,里尔,马赛,1,2,0,1
2015,5,11,波尔多,特鲁瓦,1,0,0,0
2015,5,11,兰斯,摩纳哥,0,1,0,1
2015,5,11,蒙彼利埃,巴斯蒂亚,2,0,0,0
2015,5,11,阿雅克肖GFC,尼斯,3,1,3,1
2015,5,11,昂热,甘冈,0,0,0,0
2015,5,11,洛里昂,雷恩,1,1,1,0
2015,5,9,巴黎圣日尔曼,马赛,2,1,2,1
2015,5,9,卡昂,圣埃蒂安,1,0,0,0
2015,5,9,洛里昂,波尔多,3,2,0,1
2015,5,9,摩纳哥,雷恩,1,1,0,1
2015,5,9,阿雅克肖GFC,图卢兹,2,2,2,1
2015,5,9,昂热,巴斯蒂亚,1,0,1,0
2015,5,12,摩纳哥,昂热,1,0,1,0
2015,5,12,尼斯,里尔,0,0,0,0
2015,5,12,图卢兹,蒙彼利埃,1,1,1,1
2015,5,12,巴斯蒂亚,卡昂,1,0,1,0
2015,5,12,甘冈,洛里昂,2,2,1,0
2015,5,12,特鲁瓦,里昂,0,1,0,0
2015,5,12,阿雅克肖GFC,波尔多,2,0,1,0
2015,5,12,圣埃蒂安,兰斯,3,0,0,0
2015,5,13,波尔多,摩纳哥,3,1,2,1
2015,5,13,马赛,尼斯,0,1,0,1
2015,5,13,洛里昂,特鲁瓦,4,1,1,0
2015,5,13,里尔,巴斯蒂亚,1,1,0,0
2015,5,13,蒙彼利埃,南特,2,1,1,0
2015,5,13,卡昂,甘冈,2,1,0,0
2015,5,13,兰斯,阿雅克肖GFC,1,2,0,1
2015,5,13,巴黎圣日尔曼,图卢兹,5,0,2,0
2015,5,8,甘冈,摩纳哥,3,3,1,2
2015,5,8,蒙彼利埃,洛里昂,2,1,1,0
2015,5,8,马赛,昂热,1,2,0,1
2015,5,8,雷恩,特鲁瓦,1,1,0,1
2015,5,14,雷恩,波尔多,2,2,1,1
2015,5,14,卡昂,昂热,0,0,0,0
2015,5,14,巴斯蒂亚,阿雅克肖GFC,1,2,1,1
2015,5,14,甘冈,图卢兹,2,0,0,0
2015,5,14,蒙彼利埃,兰斯,3,1,1,1
2015,5,14,摩纳哥,南特,1,0,1,0
2015,5,14,特鲁瓦,里尔,1,1,0,1
2015,5,14,洛里昂,巴黎圣日尔曼,1,2,0,2
2015,5,14,尼斯,里昂,3,0,1,0
2015,5,11,里昂,图卢兹,3,0,1,0
2015,5,11,卡昂,南特,0,2,0,1
2015,5,9,特鲁瓦,甘冈,0,1,0,0
2015,5,9,里昂,兰斯,1,0,1,0
2015,5,9,里尔,蒙彼利埃,2,0,1,0
2015,5,12,雷恩,巴黎圣日尔曼,0,1,0,0
2015,5,13,昂热,雷恩,0,2,0,1
2015,5,8,卡昂,阿雅克肖GFC,2,0,1,0
2015,5,8,巴斯蒂亚,图卢兹,3,0,3,0
2015,5,8,波尔多,里昂,3,1,3,0
2015,5,8,南特,巴黎圣日尔曼,1,4,1,0
2015,5,8,兰斯,里尔,1,0,0,0
2015,5,17,圣埃蒂安,雷恩,1,1,0,1
2015,5,17,波尔多,甘冈,1,0,0,0
2015,5,17,马赛,蒙彼利埃,2,2,0,1
2015,5,17,兰斯,特鲁瓦,1,1,1,0
2015,5,17,图卢兹,洛里昂,2,3,1,0
2015,5,17,阿雅克肖GFC,南特,1,1,0,0
2015,5,17,巴斯蒂亚,摩纳哥,1,2,0,0
2015,5,17,卡昂,里尔,1,2,0,1
2015,5,17,里昂,昂热,0,2,0,1
2015,5,17,尼斯,巴黎圣日尔曼,0,3,0,2
2015,5,21,圣埃蒂安,里昂,1,0,0,0
2015,5,20,马赛,甘冈,0,0,0,0
2015,5,15,马赛,摩纳哥,3,3,1,2
2015,5,19,波尔多,马赛,1,1,0,0
2015,5,21,卡昂,马赛,1,3,0,1
2015,5,21,洛里昂,摩纳哥,0,2,0,0
2015,5,21,巴斯蒂亚,蒙彼利埃,1,0,0,0
2015,5,21,甘冈,南特,2,2,2,0
2015,5,21,特鲁瓦,雷恩,2,4,2,3
2015,5,20,里尔,尼斯,1,1,1,1
2015,5,20,南特,圣埃蒂安,2,1,1,1
2015,5,20,雷恩,洛里昂,2,2,2,2
2015,5,20,昂热,卡昂,2,0,1,0
2015,5,20,摩纳哥,阿雅克肖GFC,2,2,0,2
2015,5,20,兰斯,图卢兹,1,3,1,0
2015,5,20,蒙彼利埃,波尔多,0,1,0,1
2015,5,20,里昂,特鲁瓦,4,1,1,0
2015,5,15,波尔多,卡昂,1,4,0,1
2015,5,15,圣埃蒂安,甘冈,3,0,0,0
2015,5,15,图卢兹,尼斯,2,0,1,0
2015,5,15,南特,巴斯蒂亚,0,0,0,0
2015,5,19,阿雅克肖GFC,里昂,2,1,1,0
2015,5,19,圣埃蒂安,昂热,1,0,0,0
2015,5,19,洛里昂,南特,0,0,0,0
2015,5,19,甘冈,雷恩,0,2,0,0
2015,5,19,特鲁瓦,摩纳哥,0,0,0,0
2015,5,19,巴斯蒂亚,兰斯,2,0,1,0
2015,5,19,图卢兹,里尔,1,1,1,0
2015,5,19,卡昂,巴黎圣日尔曼,0,3,0,2
2015,5,19,尼斯,蒙彼利埃,1,0,1,0
2015,5,18,巴黎圣日尔曼,里昂,5,1,2,1
2015,5,16,雷恩,马赛,0,1,0,1
2015,5,21,波尔多,里尔,1,0,0,0
2015,5,21,阿雅克肖GFC,兰斯,2,2,1,2
2015,5,21,图卢兹,巴黎圣日尔曼,0,1,0,0
2015,5,21,尼斯,昂热,2,1,0,1
2015,5,20,巴黎圣日尔曼,巴斯蒂亚,2,0,2,0
2015,5,15,阿雅克肖GFC,洛里昂,1,1,1,1
2015,5,15,兰斯,雷恩,2,2,0,1
2015,5,15,昂热,里尔,2,0,2,0
2015,5,15,巴黎圣日尔曼,特鲁瓦,4,1,1,0
2015,5,15,里昂,蒙彼利埃,2,4,1,2
2015,5,18,昂热,波尔多,1,1,0,1
2015,5,18,马赛,阿雅克肖GFC,1,1,1,1
2015,5,18,摩纳哥,圣埃蒂安,1,0,0,0
2015,5,18,特鲁瓦,巴斯蒂亚,1,1,0,1
2015,5,18,里尔,洛里昂,3,0,1,0
2015,5,18,南特,图卢兹,1,1,0,0
2015,5,18,蒙彼利埃,甘冈,2,1,0,1
2015,5,18,兰斯,尼斯,1,1,0,1
2015,5,16,里尔,圣埃蒂安,1,0,0,0
2015,5,16,摩纳哥,卡昂,1,1,0,0
2015,5,16,甘冈,兰斯,1,2,1,1
2015,5,16,蒙彼利埃,阿雅克肖GFC,0,2,0,1
2015,5,16,特鲁瓦,图卢兹,0,3,0,1
2015,5,16,巴斯蒂亚,波尔多,1,0,0,0
2015,5,22,里昂,马赛,1,1,0,0
2015,5,18,雷恩,卡昂,1,1,0,0
2015,5,16,南特,里昂,0,0,0,0
2015,5,16,洛里昂,尼斯,0,0,0,0
2015,5,16,昂热,巴黎圣日尔曼,0,0,0,0
2015,5,22,兰斯,圣埃蒂安,1,1,0,0
2015,5,22,摩纳哥,图卢兹,4,0,2,0
2015,5,22,尼斯,洛里昂,2,1,2,1
2015,5,22,甘冈,巴斯蒂亚,1,0,0,0
2015,5,22,里尔,特鲁瓦,1,3,1,0
2015,5,22,南特,波尔多,2,2,2,0
2015,5,22,蒙彼利埃,卡昂,1,2,1,1
2015,5,22,巴黎圣日尔曼,昂热,5,1,2,0
2015,5,22,雷恩,阿雅克肖GFC,1,0,0,0
2015,5,23,圣埃蒂安,巴黎圣日尔曼,0,2,0,0
2015,5,23,波尔多,雷恩,4,0,1,0
2015,5,23,卡昂,尼斯,2,0,2,0
2015,5,23,阿雅克肖GFC,蒙彼利埃,0,4,0,2
2015,5,23,特鲁瓦,南特,0,1,0,1
2015,5,28,阿雅克肖GFC,马赛,1,1,0,0
2015,5,27,巴斯蒂亚,南特,0,0,0,0
2015,5,25,马赛,巴黎圣日尔曼,1,2,1,1
2015,5,24,雷恩,圣埃蒂安,0,1,0,0
2015,5,23,洛里昂,兰斯,2,0,1,0
2015,5,23,巴斯蒂亚,里昂,1,0,0,0
2015,5,23,图卢兹,甘冈,1,2,0,1
2015,5,23,昂热,摩纳哥,3,0,2,0
2015,5,23,马赛,里尔,1,1,0,0
2015,5,28,里昂,巴黎圣日尔曼,2,1,2,0
2015,5,28,圣埃蒂安,卡昂,1,2,0,0
2015,5,28,南特,摩纳哥,0,0,0,0
2015,5,28,兰斯,波尔多,4,1,2,0
2015,5,28,特鲁瓦,洛里昂,0,1,0,1
2015,5,28,甘冈,昂热,2,2,1,1
2015,5,28,图卢兹,雷恩,1,2,0,0
2015,5,28,蒙彼利埃,里尔,3,0,0,0
