赛季,联赛,排名,球队,积分,场数,胜,平,负,进球,失球
2015,5,1,巴黎圣日尔曼,96,38,30,6,2,102,19
2015,5,2,里昂,65,38,19,8,11,67,43
2015,5,3,摩纳哥,65,38,17,14,7,57,50
2015,5,4,尼斯,63,38,18,9,11,58,41
2015,5,5,里尔,60,38,15,15,8,39,27
2015,5,6,圣埃蒂安,58,38,17,7,14,42,37
2015,5,7,卡昂,54,38,16,6,16,39,52
2015,5,8,雷恩,52,38,13,13,12,52,54
2015,5,9,昂热,50,38,13,11,14,40,38
2015,5,10,巴斯蒂亚,50,38,14,8,16,36,42
2015,5,11,波尔多,50,38,12,14,12,50,57
2015,5,12,蒙彼利埃,49,38,14,7,17,49,47
2015,5,13,马赛,48,38,10,18,10,48,42
2015,5,14,南特,48,38,12,12,14,33,44
2015,5,15,洛里昂,46,38,11,13,14,47,58
2015,5,16,甘冈,44,38,11,11,16,47,56
2015,5,17,图卢兹,40,38,9,13,16,45,55
2015,5,18,兰斯,39,38,10,9,19,44,57
2015,5,19,阿雅克肖GFC,37,38,8,13,17,37,58
2015,5,20,特鲁瓦,18,38,3,9,26,28,83
2016,5,1,摩纳哥,95,38,30,5,3,107,31
2016,5,2,巴黎圣日尔曼,87,38,27,6,5,83,27
2016,5,3,尼斯,78,38,22,12,4,63,36
2016,5,4,里昂,67,38,21,4,13,80,48
2016,5,5,马赛,62,38,17,11,10,57,41
2016,5,6,波尔多,59,38,15,14,9,53,43
2016,5,7,南特,51,38,14,9,15,40,54
2016,5,8,圣埃蒂安,50,38,12,14,12,41,42
2016,5,9,雷恩,50,38,12,14,12,36,42
2016,5,10,甘冈,50,38,14,8,16,46,53
2016,5,11,里尔,46,38,13,7,18,40,47
2016,5,12,昂热,46,38,13,7,18,40,49
2016,5,13,图卢兹,44,38,10,14,14,37,41
2016,5,14,梅斯,43,38,11,10,17,39,72
2016,5,15,蒙彼利埃,39,38,10,9,19,48,66
2016,5,16,第戎,37,38,8,13,17,46,58
2016,5,17,卡昂,37,38,10,7,21,36,65
2016,5,18,洛里昂,36,38,10,6,22,44,70
2016,5,19,南锡,35,38,9,8,21,29,52
2016,5,20,巴斯蒂亚,34,38,8,10,20,29,57
2017,5,1,巴黎圣日尔曼,93,38,29,6,3,108,29
2017,5,2,摩纳哥,80,38,24,8,6,85,45
2017,5,3,里昂,78,38,23,9,6,87,43
2017,5,4,马赛,77,38,22,11,5,80,47
2017,5,5,雷恩,58,38,16,10,12,50,44
2017,5,6,波尔多,55,38,16,7,15,53,48
2017,5,7,圣埃蒂安,55,38,15,10,13,47,50
2017,5,8,尼斯,54,38,15,9,14,53,52
2017,5,9,南特,52,38,14,10,14,36,41
2017,5,10,蒙彼利埃,51,38,11,18,9,36,33
2017,5,11,第戎,48,38,13,9,16,55,73
2017,5,12,甘冈,47,38,12,11,15,48,59
2017,5,13,亚眠,45,38,12,9,17,37,42
2017,5,14,昂热,41,38,9,14,15,42,52
2017,5,15,斯特拉斯堡,38,38,9,11,18,44,67
2017,5,16,卡昂,38,38,10,8,20,27,52
2017,5,17,里尔,38,38,10,8,20,41,67
2017,5,18,图卢兹,37,38,9,10,19,38,54
2017,5,19,特鲁瓦,33,38,9,6,23,32,59
2017,5,20,梅斯,26,38,6,8,24,34,76
2018,5,1,巴黎圣日尔曼,0,0,0,0,0,0,0
2018,5,2,第戎,0,0,0,0,0,0,0
2018,5,3,甘冈,0,0,0,0,0,0,0
2018,5,4,里昂,0,0,0,0,0,0,0
2018,5,5,里尔,0,0,0,0,0,0,0
2018,5,6,波尔多,0,0,0,0,0,0,0
2018,5,7,雷恩,0,0,0,0,0,0,0
2018,5,8,马赛,0,0,0,0,0,0,0
2018,5,9,南特,0,0,0,0,0,0,0
2018,5,10,圣埃蒂安,0,0,0,0,0,0,0
2018,5,11,斯特拉斯堡,0,0,0,0,0,0,0
2018,5,12,图卢兹,0,0,0,0,0,0,0
2018,5,13,蒙彼利埃,0,0,0,0,0,0,0
2018,5,14,尼斯,0,0,0,0,0,0,0
2018,5,15,卡昂,0,0,0,0,0,0,0
2018,5,16,昂热,0,0,0,0,0,0,0
2018,5,17,亚眠,0,0,0,0,0,0,0
2018,5,18,尼姆,0,0,0,0,0,0,0
2018,5,19,兰斯,0,0,0,0,0,0,0
2018,5,20,摩纳哥,0,0,0,0,0,0,0
