赛季,联赛,轮次,主队,客队,主队进球,客队进球,主队半场进球,客队半场进球
2017,38,3,西雅图海湾人,纽约红牛,3,1,1,0
2017,38,3,波特兰伐木工,休斯顿迪纳摩,4,2,1,2
2017,38,3,皇家盐湖城,洛杉矶银河,1,2,1,0
2017,38,3,科罗拉多急流,明尼苏达联,2,2,1,0
2017,38,3,堪萨斯城竞技,圣何塞地震,2,1,1,0
2017,38,3,达拉斯FC,新英格兰革命,2,1,0,1
2017,38,3,奥兰多城,费城联合,2,1,1,0
2017,38,3,华盛顿联,哥伦布机员,0,2,0,1
2017,38,3,温哥华白帽,多伦多FC,0,2,0,0
2017,38,3,亚特兰大联,芝加哥火焰,4,0,1,0
2017,38,1,温哥华白帽,费城联合,0,0,0,0
2017,38,4,休斯顿迪纳摩,纽约红牛,4,1,2,1
2017,38,7,达拉斯FC,堪萨斯城竞技,1,0,0,0
2017,38,5,科罗拉多急流,达拉斯FC,1,1,1,0
2017,38,6,哥伦布机员,多伦多FC,2,1,2,1
2017,38,3,纽约城,蒙特利尔冲击,1,1,1,0
2017,38,1,亚特兰大联,纽约红牛,1,2,1,0
2017,38,1,奥兰多城,纽约城,1,0,1,0
2017,38,1,圣何塞地震,蒙特利尔冲击,1,0,1,0
2017,38,1,休斯顿迪纳摩,西雅图海湾人,2,1,2,0
2017,38,1,华盛顿联,堪萨斯城竞技,0,0,0,0
2017,38,1,科罗拉多急流,新英格兰革命,1,0,0,0
2017,38,1,皇家盐湖城,多伦多FC,0,0,0,0
2017,38,1,洛杉矶银河,达拉斯FC,1,2,0,0
2017,38,4,明尼苏达联,皇家盐湖城,4,2,1,1
2017,38,4,华盛顿联,费城联合,2,1,2,0
2017,38,7,纽约红牛,哥伦布机员,2,0,2,0
2017,38,7,新英格兰革命,华盛顿联,2,2,1,2
2017,38,7,波特兰伐木工,温哥华白帽,2,1,2,0
2017,38,7,休斯顿迪纳摩,圣何塞地震,2,0,1,0
2017,38,7,费城联合,蒙特利尔冲击,3,3,3,1
2017,38,7,多伦多FC,芝加哥火焰,3,1,2,0
2017,38,5,皇家盐湖城,温哥华白帽,3,0,0,0
2017,38,5,达拉斯FC,明尼苏达联,2,0,1,0
2017,38,5,多伦多FC,亚特兰大联,2,2,2,1
2017,38,5,费城联合,波特兰伐木工,1,3,1,1
2017,38,5,华盛顿联,纽约城,2,1,0,0
2017,38,5,新英格兰革命,休斯顿迪纳摩,2,0,0,0
2017,38,5,芝加哥火焰,哥伦布机员,1,0,1,0
2017,38,5,洛杉矶银河,蒙特利尔冲击,2,0,1,0
2017,38,5,波特兰伐木工,新英格兰革命,1,1,1,0
2017,38,6,纽约红牛,华盛顿联,2,0,0,0
2017,38,6,芝加哥火焰,新英格兰革命,3,0,1,0
2017,38,6,奥兰多城,洛杉矶银河,2,1,1,0
2017,38,6,蒙特利尔冲击,亚特兰大联,2,1,1,1
2017,38,6,圣何塞地震,达拉斯FC,1,1,0,0
2017,38,6,温哥华白帽,西雅图海湾人,2,1,0,0
2017,38,6,费城联合,纽约城,0,2,0,0
2017,38,2,新英格兰革命,奥兰多城,4,0,1,0
2017,38,1,哥伦布机员,芝加哥火焰,1,1,1,0
2017,38,1,波特兰伐木工,明尼苏达联,5,1,1,0
2017,38,4,哥伦布机员,奥兰多城,2,0,1,0
2017,38,4,芝加哥火焰,蒙特利尔冲击,2,2,1,0
2017,38,4,纽约城,圣何塞地震,2,1,1,1
2017,38,4,西雅图海湾人,亚特兰大联,0,0,0,0
2017,38,4,多伦多FC,堪萨斯城竞技,0,0,0,0
2017,38,4,哥伦布机员,波特兰伐木工,3,2,2,2
2017,38,4,纽约红牛,皇家盐湖城,0,0,0,0
2017,38,4,新英格兰革命,明尼苏达联,5,2,4,1
2017,38,7,新英格兰革命,圣何塞地震,0,0,0,0
2017,38,7,波特兰伐木工,堪萨斯城竞技,0,1,0,0
2017,38,7,科罗拉多急流,皇家盐湖城,1,2,1,0
