赛季,联赛,排名,球队,积分,场数,胜,平,负,进球,失球
2017,38,1,多伦多FC,69,34,20,9,5,74,37
2017,38,2,纽约城,57,34,16,9,9,56,43
2017,38,3,亚特兰大联,55,34,15,10,9,70,40
2017,38,4,芝加哥火焰,55,34,16,7,11,61,47
2017,38,5,哥伦布机员,54,34,16,6,12,53,49
2017,38,6,西雅图海湾人,53,34,14,11,9,52,39
2017,38,7,波特兰伐木工,53,34,15,8,11,60,50
2017,38,8,温哥华白帽,52,34,15,7,12,50,49
2017,38,9,休斯顿迪纳摩,50,34,13,11,10,57,45
2017,38,10,纽约红牛,50,34,14,8,12,53,47
2017,38,11,堪萨斯城竞技,49,34,12,13,9,40,29
2017,38,12,圣何塞地震,46,34,13,7,14,39,60
2017,38,13,达拉斯FC,46,34,11,13,10,48,48
2017,38,14,皇家盐湖城,45,34,13,6,15,49,55
2017,38,15,新英格兰革命,45,34,13,6,15,53,61
2017,38,16,费城联合,42,34,11,9,14,50,47
2017,38,17,蒙特利尔冲击,39,34,11,6,17,52,58
2017,38,18,奥兰多城,39,34,10,9,15,39,58
2017,38,19,明尼苏达联,36,34,10,6,18,47,70
2017,38,20,科罗拉多急流,33,34,9,6,19,31,51
2017,38,21,洛杉矶银河,32,34,8,8,18,45,67
2017,38,22,华盛顿联,32,34,9,5,20,31,60
2018,38,1,亚特兰大联,48,24,14,6,4,50,28
2018,38,2,纽约红牛,44,22,14,2,6,44,23
2018,38,3,纽约城,44,23,13,5,5,45,29
2018,38,4,达拉斯FC,42,22,12,6,4,36,28
2018,38,5,波特兰伐木工,37,20,10,7,3,33,25
2018,38,6,堪萨斯城竞技,36,22,10,6,6,40,30
2018,38,7,洛杉矶FC,36,22,10,6,6,45,37
2018,38,8,哥伦布机员,36,23,10,6,7,30,29
2018,38,9,洛杉矶银河,35,23,10,5,8,44,38
2018,38,10,皇家盐湖城,34,23,10,4,9,33,40
2018,38,11,温哥华白帽,30,23,8,6,9,36,46
2018,38,12,新英格兰革命,29,22,7,8,7,36,35
2018,38,13,西雅图海湾人,29,22,8,5,9,24,25
2018,38,14,蒙特利尔冲击,29,24,9,2,13,30,40
2018,38,15,明尼苏达联,28,23,9,1,13,36,46
2018,38,16,休斯顿迪纳摩,27,22,7,6,9,39,33
2018,38,17,费城联合,27,22,8,3,11,29,37
2018,38,18,多伦多FC,23,22,6,5,11,37,41
2018,38,19,芝加哥火焰,23,24,6,5,13,35,48
2018,38,20,奥兰多城,23,23,7,2,14,35,54
2018,38,21,科罗拉多急流,20,22,5,5,12,27,37
2018,38,22,华盛顿联,18,19,4,6,9,30,36
2018,38,23,圣何塞地震,16,22,3,7,12,32,41
