赛季,联赛,排名,球队,积分,场数,胜,平,负,进球,失球
2015,1,1,尤文图斯,91,38,29,4,5,75,20
2015,1,2,那不勒斯,82,38,25,7,6,80,32
2015,1,3,罗马,80,38,23,11,4,83,41
2015,1,4,国际米兰,67,38,20,7,11,50,38
2015,1,5,佛罗伦萨,64,38,18,10,10,60,42
2015,1,6,萨索洛,61,38,16,13,9,49,40
2015,1,7,AC米兰,57,38,15,12,11,49,43
2015,1,8,拉齐奥,54,38,15,9,14,52,52
2015,1,9,切沃,50,38,13,11,14,43,45
2015,1,10,恩波利,46,38,12,10,16,40,49
2015,1,11,热那亚,46,38,13,7,18,45,48
2015,1,12,都灵,45,38,12,9,17,52,55
2015,1,13,亚特兰大,45,38,11,12,15,41,47
2015,1,14,博洛尼亚,42,38,11,9,18,33,45
2015,1,15,桑普多利亚,40,38,10,10,18,48,61
2015,1,16,巴勒莫,39,38,10,9,19,38,65
2015,1,17,乌迪内斯,39,38,10,9,19,35,60
2015,1,18,卡尔皮,38,38,9,11,18,37,57
2015,1,19,弗罗西诺内,31,38,8,7,23,35,76
2015,1,20,维罗纳,28,38,5,13,20,34,63
2016,1,1,尤文图斯,91,38,29,4,5,77,27
2016,1,2,罗马,87,38,28,3,7,90,38
2016,1,3,那不勒斯,86,38,26,8,4,94,39
2016,1,4,亚特兰大,72,38,21,9,8,62,41
2016,1,5,拉齐奥,70,38,21,7,10,74,51
2016,1,6,AC米兰,63,38,18,9,11,57,45
2016,1,7,国际米兰,62,38,19,5,14,72,49
2016,1,8,佛罗伦萨,60,38,16,12,10,63,57
2016,1,9,都灵,53,38,13,14,11,71,66
2016,1,10,桑普多利亚,48,38,12,12,14,49,55
2016,1,11,卡利亚里,47,38,14,5,19,55,76
2016,1,12,萨索洛,46,38,13,7,18,58,63
2016,1,13,乌迪内斯,45,38,12,9,17,47,56
2016,1,14,切沃,43,38,12,7,19,43,61
2016,1,15,博洛尼亚,41,38,11,8,19,40,58
2016,1,16,热那亚,36,38,9,9,20,38,64
2016,1,17,克罗托内,34,38,9,7,22,34,58
2016,1,18,恩波利,32,38,8,8,22,29,61
2016,1,19,巴勒莫,26,38,6,8,24,33,77
