赛季,联赛,轮次,主队,客队,主队进球,客队进球,主队半场进球,客队半场进球
2015,1,1,佛罗伦萨,AC米兰,2,0,1,0
2015,1,1,国际米兰,亚特兰大,1,0,0,0
2015,1,1,巴勒莫,热那亚,1,0,0,0
2015,1,1,恩波利,切沃,1,3,1,0
2015,1,1,桑普多利亚,卡尔皮,5,2,5,1
2015,1,1,萨索洛,那不勒斯,2,1,1,1
2015,1,1,弗罗西诺内,都灵,1,2,1,0
2015,1,1,尤文图斯,乌迪内斯,0,1,0,0
2015,1,1,拉齐奥,博洛尼亚,2,1,2,1
2015,1,1,维罗纳,罗马,1,1,0,0
2015,1,5,恩波利,亚特兰大,0,1,0,1
2015,1,5,桑普多利亚,罗马,2,1,0,0
2015,1,5,佛罗伦萨,博洛尼亚,2,0,0,0
2015,1,5,国际米兰,维罗纳,1,0,0,0
2015,1,5,巴勒莫,萨索洛,0,1,0,1
2015,1,5,卡尔皮,那不勒斯,0,0,0,0
2015,1,5,切沃,都灵,1,0,0,0
2015,1,5,拉齐奥,热那亚,2,0,1,0
2015,1,5,尤文图斯,弗罗西诺内,1,1,0,0
2015,1,5,乌迪内斯,AC米兰,2,3,0,3
2015,1,2,卡尔皮,国际米兰,1,2,0,1
2015,1,2,切沃,拉齐奥,4,0,3,0
2015,1,2,热那亚,维罗纳,2,0,0,0
2015,1,2,亚特兰大,弗罗西诺内,2,0,1,0
2015,1,2,乌迪内斯,巴勒莫,0,1,0,1
2015,1,2,都灵,佛罗伦萨,3,1,0,1
2015,1,2,那不勒斯,桑普多利亚,2,2,2,0
2015,1,2,罗马,尤文图斯,2,1,0,0
2015,1,2,AC米兰,恩波利,2,1,1,1
2015,1,2,博洛尼亚,萨索洛,0,1,0,0
2015,1,3,桑普多利亚,博洛尼亚,2,0,0,0
2015,1,3,国际米兰,AC米兰,1,0,0,0
2015,1,3,拉齐奥,乌迪内斯,2,0,0,0
2015,1,3,萨索洛,亚特兰大,2,2,2,2
2015,1,3,恩波利,那不勒斯,2,2,2,1
2015,1,3,巴勒莫,卡尔皮,2,2,1,1
2015,1,3,维罗纳,都灵,2,2,0,0
2015,1,3,尤文图斯,切沃,1,1,0,1
2015,1,3,佛罗伦萨,热那亚,1,0,0,0
2015,1,3,弗罗西诺内,罗马,0,2,0,1
2015,1,6,亚特兰大,桑普多利亚,2,1,1,0
2015,1,6,弗罗西诺内,恩波利,2,0,0,0
2015,1,6,国际米兰,佛罗伦萨,1,4,0,3
2015,1,6,维罗纳,拉齐奥,1,2,1,0
2015,1,6,博洛尼亚,乌迪内斯,1,2,1,0
2015,1,6,都灵,巴勒莫,2,1,1,0
2015,1,6,萨索洛,切沃,1,1,1,1
2015,1,6,热那亚,AC米兰,1,0,1,0
2015,1,6,那不勒斯,尤文图斯,2,1,1,0
2015,1,6,罗马,卡尔皮,5,1,3,1
2015,1,4,那不勒斯,拉齐奥,5,0,2,0
2015,1,4,卡尔皮,佛罗伦萨,0,1,0,1
2015,1,4,热那亚,尤文图斯,0,2,0,1
2015,1,4,亚特兰大,维罗纳,1,1,0,0
2015,1,4,博洛尼亚,弗罗西诺内,1,0,1,0
2015,1,4,都灵,桑普多利亚,2,0,2,0
2015,1,4,罗马,萨索洛,2,2,1,2
2015,1,4,切沃,国际米兰,0,1,0,1
2015,1,4,AC米兰,巴勒莫,3,2,2,1
2015,1,4,乌迪内斯,恩波利,1,2,1,0
2015,1,7,佛罗伦萨,亚特兰大,3,0,2,0
2015,1,7,AC米兰,那不勒斯,0,4,0,1
2015,1,7,尤文图斯,博洛尼亚,3,1,1,1
2015,1,7,拉齐奥,弗罗西诺内,2,0,0,0
2015,1,7,乌迪内斯,热那亚,1,1,0,0
2015,1,7,巴勒莫,罗马,2,4,0,3
2015,1,7,桑普多利亚,国际米兰,1,1,0,0
2015,1,7,恩波利,萨索洛,1,0,0,0
2015,1,7,切沃,维罗纳,1,1,0,0
2015,1,7,卡尔皮,都灵,2,1,0,0
2015,1,8,国际米兰,尤文图斯,0,0,0,0
2015,1,8,萨索洛,拉齐奥,2,1,1,0
2015,1,8,维罗纳,乌迪内斯,1,1,1,0
2015,1,8,弗罗西诺内,桑普多利亚,2,0,0,0
2015,1,8,热那亚,切沃,3,2,2,1
2015,1,8,那不勒斯,佛罗伦萨,2,1,0,0
2015,1,8,亚特兰大,卡尔皮,3,0,2,0
2015,1,8,博洛尼亚,巴勒莫,0,1,0,1
2015,1,8,都灵,AC米兰,1,1,0,0
2015,1,8,罗马,恩波利,3,1,0,0
2015,1,9,切沃,那不勒斯,0,1,0,0
2015,1,9,拉齐奥,都灵,3,0,1,0
2015,1,9,佛罗伦萨,罗马,1,2,0,2
2015,1,9,尤文图斯,亚特兰大,2,0,1,0
2015,1,9,乌迪内斯,弗罗西诺内,1,0,1,0
2015,1,9,AC米兰,萨索洛,2,1,1,0
2015,1,9,桑普多利亚,维罗纳,4,1,3,0
2015,1,9,巴勒莫,国际米兰,1,1,0,0
2015,1,9,卡尔皮,博洛尼亚,1,2,1,0
2015,1,9,恩波利,热那亚,2,0,1,0
2015,1,10,桑普多利亚,恩波利,1,1,0,0
2015,1,10,萨索洛,尤文图斯,1,0,1,0
2015,1,10,维罗纳,佛罗伦萨,0,2,0,1
2015,1,10,弗罗西诺内,卡尔皮,2,1,0,0
2015,1,10,AC米兰,切沃,1,0,0,0
2015,1,10,亚特兰大,拉齐奥,2,1,0,1
2015,1,10,罗马,乌迪内斯,3,1,2,0
2015,1,10,都灵,热那亚,3,3,2,1
2015,1,10,那不勒斯,巴勒莫,2,0,1,0
2015,1,10,博洛尼亚,国际米兰,0,1,0,0
2015,1,11,巴勒莫,恩波利,0,1,0,0
2015,1,11,切沃,桑普多利亚,1,1,1,1
2015,1,11,拉齐奥,AC米兰,1,3,0,1
2015,1,11,乌迪内斯,萨索洛,0,0,0,0
2015,1,11,博洛尼亚,亚特兰大,3,0,0,0
2015,1,11,卡尔皮,维罗纳,0,0,0,0
2015,1,11,热那亚,那不勒斯,0,0,0,0
2015,1,11,佛罗伦萨,弗罗西诺内,4,1,4,0
2015,1,11,国际米兰,罗马,1,0,1,0
2015,1,11,尤文图斯,都灵,2,1,1,0
2015,1,12,桑普多利亚,佛罗伦萨,0,2,0,1
2015,1,14,那不勒斯,国际米兰,2,1,1,0
2015,1,12,那不勒斯,乌迪内斯,1,0,0,0
2015,1,12,恩波利,尤文图斯,1,3,1,2
2015,1,12,萨索洛,卡尔皮,1,0,1,0
2015,1,12,巴勒莫,切沃,1,0,0,0
2015,1,12,弗罗西诺内,热那亚,2,2,2,1
2015,1,12,罗马,拉齐奥,2,0,1,0
2015,1,14,萨索洛,佛罗伦萨,1,1,1,1
2015,1,14,巴勒莫,尤文图斯,0,3,0,0
2015,1,14,恩波利,拉齐奥,1,0,1,0
2015,1,14,热那亚,卡尔皮,1,2,1,0
2015,1,14,切沃,乌迪内斯,2,3,1,1
2015,1,14,罗马,亚特兰大,0,2,0,1
2015,1,14,弗罗西诺内,维罗纳,3,2,2,0
2015,1,14,AC米兰,桑普多利亚,4,1,2,0
2015,1,13,国际米兰,弗罗西诺内,4,0,1,0
2015,1,12,都灵,国际米兰,0,1,0,1
2015,1,12,AC米兰,亚特兰大,0,0,0,0
2015,1,12,维罗纳,博洛尼亚,0,2,0,2
2015,1,14,都灵,博洛尼亚,2,0,0,0
2015,1,13,卡尔皮,切沃,1,2,0,2
2015,1,13,拉齐奥,巴勒莫,1,1,0,1
2015,1,13,佛罗伦萨,恩波利,2,2,0,2
2015,1,13,亚特兰大,都灵,0,1,0,0
2015,1,13,热那亚,萨索洛,2,1,0,0
2015,1,13,乌迪内斯,桑普多利亚,1,0,1,0
2015,1,13,维罗纳,那不勒斯,0,2,0,0
2015,1,13,尤文图斯,AC米兰,1,0,0,0
2015,1,13,博洛尼亚,罗马,2,2,1,0
2015,1,16,萨索洛,都灵,1,1,1,1
2015,1,15,卡尔皮,AC米兰,0,0,0,0
2015,1,16,拉齐奥,桑普多利亚,1,1,0,0
2015,1,16,尤文图斯,佛罗伦萨,3,1,1,1
2015,1,16,那不勒斯,罗马,0,0,0,0
2015,1,16,切沃,亚特兰大,1,0,0,0
2015,1,16,恩波利,卡尔皮,3,0,0,0
2015,1,16,AC米兰,维罗纳,1,1,0,0
2015,1,16,乌迪内斯,国际米兰,0,4,0,2
2015,1,15,桑普多利亚,萨索洛,1,3,0,3
2015,1,15,亚特兰大,巴勒莫,3,0,2,0
2015,1,15,维罗纳,恩波利,0,1,0,0
2015,1,15,佛罗伦萨,乌迪内斯,3,0,1,0
2015,1,16,巴勒莫,弗罗西诺内,4,1,2,1
2015,1,15,弗罗西诺内,切沃,0,2,0,0
2015,1,15,博洛尼亚,那不勒斯,3,2,2,0
2015,1,15,国际米兰,热那亚,1,0,0,0
2015,1,15,都灵,罗马,1,1,0,0
2015,1,15,拉齐奥,尤文图斯,0,2,0,2
2015,1,16,热那亚,博洛尼亚,0,1,0,0
2015,1,17,国际米兰,拉齐奥,1,2,0,1
2015,1,17,弗罗西诺内,AC米兰,2,4,1,0
2015,1,17,桑普多利亚,巴勒莫,2,0,0,0
2015,1,17,都灵,乌迪内斯,0,1,0,1
2015,1,17,佛罗伦萨,切沃,2,0,2,0
2015,1,17,维罗纳,萨索洛,1,1,1,1
2015,1,17,亚特兰大,那不勒斯,1,3,0,0
2015,1,17,罗马,热那亚,2,0,1,0
2015,1,19,桑普多利亚,尤文图斯,1,2,0,1
2015,1,18,那不勒斯,都灵,2,1,2,1
2015,1,21,尤文图斯,罗马,1,0,0,0
2015,1,17,卡尔皮,尤文图斯,2,3,1,2
2015,1,17,博洛尼亚,恩波利,2,3,2,2
2015,1,19,弗罗西诺内,那不勒斯,1,5,0,2
2015,1,19,维罗纳,巴勒莫,0,1,0,1
2015,1,19,亚特兰大,热那亚,0,2,0,0
2015,1,19,都灵,恩波利,0,1,0,0
2015,1,19,博洛尼亚,切沃,0,1,0,0
2015,1,18,恩波利,国际米兰,0,1,0,1
2015,1,18,AC米兰,博洛尼亚,0,1,0,0
2015,1,18,拉齐奥,卡尔皮,0,0,0,0
2015,1,18,切沃,罗马,3,3,1,2
2015,1,18,巴勒莫,佛罗伦萨,1,3,0,2
2015,1,18,尤文图斯,维罗纳,3,0,2,0
2015,1,18,萨索洛,弗罗西诺内,2,2,1,2
2015,1,18,乌迪内斯,亚特兰大,2,1,2,0
2015,1,21,国际米兰,卡尔皮,1,1,1,0
2015,1,21,拉齐奥,切沃,4,1,0,1
2015,1,21,巴勒莫,乌迪内斯,4,1,1,0
2015,1,21,萨索洛,博洛尼亚,0,2,0,0
2015,1,21,维罗纳,热那亚,1,1,1,1
2015,1,21,桑普多利亚,那不勒斯,2,4,1,2
2015,1,19,国际米兰,萨索洛,0,1,0,0
2015,1,19,罗马,AC米兰,1,1,1,0
2015,1,19,佛罗伦萨,拉齐奥,1,3,0,1
2015,1,18,热那亚,桑普多利亚,2,3,0,2
2015,1,20,AC米兰,佛罗伦萨,2,0,1,0
2015,1,21,佛罗伦萨,都灵,2,0,1,0
2015,1,21,恩波利,AC米兰,2,2,1,1
2015,1,21,弗罗西诺内,亚特兰大,0,0,0,0
2015,1,19,卡尔皮,乌迪内斯,2,1,1,0
2015,1,20,乌迪内斯,尤文图斯,0,4,0,4
2015,1,20,博洛尼亚,拉齐奥,2,2,2,0
2015,1,20,罗马,维罗纳,1,1,1,0
