赛季,联赛,轮次,主队,客队,主队进球,客队进球,主队半场进球,客队半场进球
2015,4,3,阿森纳,利物浦,0,0,0,0
2015,4,3,沃特福德,南安普敦,0,0,0,0
2015,4,3,埃弗顿,曼彻斯特城,0,2,0,0
2015,4,3,西布罗姆维奇,切尔西,2,3,1,3
2015,4,3,西汉姆联,伯恩茅斯,3,4,0,2
2015,4,3,莱切斯特城,托特纳姆热刺,1,1,0,0
2015,4,3,水晶宫,阿斯顿维拉,2,1,0,0
2015,4,3,诺维奇城,斯托克城,1,1,1,1
2015,4,3,桑德兰,斯旺西,1,1,0,1
2015,4,5,西汉姆联,纽卡斯尔联,2,0,1,0
2015,4,6,利物浦,诺维奇城,1,1,0,0
2015,4,7,西布罗姆维奇,埃弗顿,2,3,1,0
2015,4,2,利物浦,伯恩茅斯,1,0,1,0
2015,4,4,斯旺西,曼彻斯特联,2,1,0,0
2015,4,1,西布罗姆维奇,曼彻斯特城,0,3,0,2
2015,4,3,曼彻斯特联,纽卡斯尔联,0,0,0,0
2015,4,5,莱切斯特城,阿斯顿维拉,3,2,0,1
2015,4,5,桑德兰,托特纳姆热刺,0,1,0,0
2015,4,5,曼彻斯特联,利物浦,3,1,0,0
2015,4,5,诺维奇城,伯恩茅斯,3,1,1,0
2015,4,5,西布罗姆维奇,南安普敦,0,0,0,0
2015,4,6,南安普敦,曼彻斯特联,2,3,1,1
2015,4,6,托特纳姆热刺,水晶宫,1,0,0,0
2015,4,6,曼彻斯特城,西汉姆联,1,2,1,2
2015,4,6,阿斯顿维拉,西布罗姆维奇,0,1,0,1
2015,4,6,纽卡斯尔联,沃特福德,1,2,0,2
2015,4,6,斯托克城,莱切斯特城,2,2,2,0
2015,4,6,斯旺西,埃弗顿,0,0,0,0
2015,4,6,伯恩茅斯,桑德兰,2,0,2,0
2015,4,7,沃特福德,水晶宫,0,1,0,0
2015,4,7,纽卡斯尔联,切尔西,2,2,1,0
2015,4,7,西汉姆联,诺维奇城,2,2,1,1
2015,4,7,斯托克城,伯恩茅斯,2,1,1,0
2015,4,7,利物浦,阿斯顿维拉,3,2,1,0
2015,4,7,莱切斯特城,阿森纳,2,5,1,2
2015,4,2,曼彻斯特城,切尔西,3,0,1,0
2015,4,2,水晶宫,阿森纳,1,2,1,1
2015,4,2,托特纳姆热刺,斯托克城,2,2,2,0
2015,4,2,斯旺西,纽卡斯尔联,2,0,1,0
2015,4,2,西汉姆联,莱切斯特城,1,2,0,2
2015,4,2,沃特福德,西布罗姆维奇,0,0,0,0
2015,4,2,桑德兰,诺维奇城,1,3,0,2
2015,4,2,南安普敦,埃弗顿,0,3,0,2
2015,4,2,阿斯顿维拉,曼彻斯特联,0,1,0,1
2015,4,4,南安普敦,诺维奇城,3,0,1,0
2015,4,4,托特纳姆热刺,埃弗顿,0,0,0,0
2015,4,4,曼彻斯特城,沃特福德,2,0,0,0
2015,4,4,斯托克城,西布罗姆维奇,0,1,0,1
2015,4,4,利物浦,西汉姆联,0,3,0,2
2015,4,4,切尔西,水晶宫,1,2,0,0
2015,4,4,伯恩茅斯,莱切斯特城,1,1,1,0
2015,4,1,斯托克城,利物浦,0,1,0,0
2015,4,1,阿森纳,西汉姆联,0,2,0,1
2015,4,1,纽卡斯尔联,南安普敦,2,2,1,1
2015,4,1,切尔西,斯旺西,2,2,2,1
2015,4,1,伯恩茅斯,阿斯顿维拉,0,1,0,0
2015,4,1,莱切斯特城,桑德兰,4,2,3,0
2015,4,1,埃弗顿,沃特福德,2,2,0,1
2015,4,1,诺维奇城,水晶宫,1,3,0,1
2015,4,5,水晶宫,曼彻斯特城,0,1,0,0
2015,4,5,阿森纳,斯托克城,2,0,1,0
2015,4,5,沃特福德,斯旺西,1,0,0,0
2015,4,5,埃弗顿,切尔西,3,1,2,1
2015,4,6,切尔西,阿森纳,2,0,0,0
2015,4,7,曼彻斯特联,桑德兰,3,0,1,0
2015,4,7,南安普敦,斯旺西,3,1,1,0
2015,4,7,托特纳姆热刺,曼彻斯特城,4,1,1,1
2015,4,4,阿斯顿维拉,桑德兰,2,2,2,1
2015,4,4,纽卡斯尔联,阿森纳,0,1,0,0
2015,4,1,曼彻斯特联,托特纳姆热刺,1,0,1,0
2015,4,8,斯旺西,托特纳姆热刺,2,2,2,1
2015,4,15,埃弗顿,水晶宫,1,1,0,0
2015,4,9,斯旺西,斯托克城,0,1,0,1
2015,4,14,诺维奇城,阿森纳,1,1,1,1
2015,4,8,阿森纳,曼彻斯特联,3,0,3,0
2015,4,8,埃弗顿,利物浦,1,1,1,1
2015,4,8,切尔西,南安普敦,1,3,1,1
2015,4,8,伯恩茅斯,沃特福德,1,1,1,1
2015,4,8,桑德兰,西汉姆联,2,2,2,1
2015,4,15,纽卡斯尔联,利物浦,2,0,0,0
2015,4,15,切尔西,伯恩茅斯,0,1,0,0
2015,4,15,曼彻斯特联,西汉姆联,0,0,0,0
2015,4,15,沃特福德,诺维奇城,2,0,1,0
2015,4,15,斯旺西,莱切斯特城,0,3,0,2
2015,4,15,南安普敦,阿斯顿维拉,1,1,0,1
2015,4,15,西布罗姆维奇,托特纳姆热刺,1,1,1,1
2015,4,15,阿森纳,桑德兰,3,1,1,1
2015,4,15,斯托克城,曼彻斯特城,2,0,2,0
2015,4,9,纽卡斯尔联,诺维奇城,6,2,3,2
2015,4,9,沃特福德,阿森纳,0,3,0,0
2015,4,9,西布罗姆维奇,桑德兰,1,0,0,0
2015,4,9,水晶宫,西汉姆联,1,3,1,1
2015,4,9,曼彻斯特城,伯恩茅斯,5,1,4,1
2015,4,9,切尔西,阿斯顿维拉,2,0,1,0
2015,4,9,埃弗顿,曼彻斯特联,0,3,0,2
2015,4,9,南安普敦,莱切斯特城,2,2,2,0
2015,4,9,托特纳姆热刺,利物浦,0,0,0,0
2015,4,14,利物浦,斯旺西,1,0,0,0
2015,4,14,西汉姆联,西布罗姆维奇,1,1,1,0
2015,4,14,托特纳姆热刺,切尔西,0,0,0,0
2015,4,14,莱切斯特城,曼彻斯特联,1,1,1,1
2015,4,14,桑德兰,斯托克城,2,0,0,0
2015,4,14,阿斯顿维拉,沃特福德,2,3,1,1
2015,4,14,曼彻斯特城,南安普敦,3,1,2,0
2015,4,14,水晶宫,纽卡斯尔联,5,1,3,1
2015,4,8,阿斯顿维拉,斯托克城,0,1,0,0
2015,4,8,曼彻斯特城,纽卡斯尔联,6,1,1,1
2015,4,8,诺维奇城,莱切斯特城,1,2,0,1
