赛季,联赛,排名,球队,积分,场数,胜,平,负,进球,失球
2018,213,1,北京中赫国安,25,12,7,4,1,27,17
2018,213,2,上海上港,24,12,7,3,2,28,11
2018,213,3,山东鲁能泰山,24,12,7,3,2,19,10
2018,213,4,广州恒大淘宝,21,12,6,3,3,23,16
2018,213,5,江苏苏宁,20,12,6,2,4,18,13
2018,213,6,上海绿地申花,20,12,6,2,4,18,19
2018,213,7,天津权健,18,12,5,3,4,16,14
2018,213,8,广州富力,17,12,5,2,5,23,25
2018,213,9,河北华夏幸福,16,12,4,4,4,16,16
2018,213,10,北京人和,16,12,4,4,4,8,11
2018,213,11,天津泰达,15,12,4,3,5,16,14
2018,213,12,长春亚泰,14,12,4,2,6,16,20
2018,213,13,重庆斯威,11,12,3,2,7,16,18
2018,213,14,河南建业,11,12,3,2,7,8,18
2018,213,15,大连一方,10,12,2,4,6,9,22
2018,213,16,贵州恒丰,4,12,1,1,10,14,31
