赛季,联赛,轮次,主队,客队,主队进球,客队进球,主队半场进球,客队半场进球
2018,213,3,天津泰达,天津权健,3,2,1,0
2018,213,3,广州恒大淘宝,河南建业,1,0,1,0
2018,213,3,贵州恒丰,上海绿地申花,0,1,0,0
2018,213,3,长春亚泰,北京人和,1,1,1,1
2018,213,3,广州富力,上海上港,2,5,2,3
2018,213,3,重庆斯威,江苏苏宁,4,1,2,1
2018,213,3,河北华夏幸福,山东鲁能泰山,1,2,1,1
2018,213,3,大连一方,北京中赫国安,0,3,0,2
2018,213,1,山东鲁能泰山,北京中赫国安,3,0,2,0
2018,213,1,贵州恒丰,江苏苏宁,1,3,1,2
2018,213,1,天津泰达,河北华夏幸福,1,1,1,0
2018,213,1,上海上港,大连一方,8,0,3,0
2018,213,1,重庆斯威,北京人和,1,0,1,0
2018,213,1,上海绿地申花,长春亚泰,1,1,1,0
2018,213,1,广州恒大淘宝,广州富力,4,5,3,2
2018,213,1,河南建业,天津权健,0,4,0,1
2018,213,4,江苏苏宁,天津泰达,2,1,0,0
2018,213,2,江苏苏宁,北京中赫国安,1,2,0,1
2018,213,5,贵州恒丰,天津权健,0,1,0,1
2018,213,4,山东鲁能泰山,贵州恒丰,0,2,0,1
2018,213,4,上海绿地申花,河北华夏幸福,4,2,0,0
2018,213,4,北京中赫国安,北京人和,4,0,1,0
2018,213,4,河南建业,大连一方,1,1,1,1
2018,213,4,长春亚泰,广州富力,1,2,0,0
2018,213,4,上海上港,重庆斯威,2,1,2,1
2018,213,4,天津权健,广州恒大淘宝,0,1,0,0
2018,213,2,河南建业,天津泰达,1,0,1,0
2018,213,2,贵州恒丰,河北华夏幸福,2,3,0,1
2018,213,2,广州富力,大连一方,2,0,0,0
2018,213,2,上海绿地申花,上海上港,0,2,0,1
2018,213,2,山东鲁能泰山,重庆斯威,2,0,1,0
2018,213,2,天津权健,北京人和,1,2,0,1
2018,213,2,广州恒大淘宝,长春亚泰,5,0,0,0
2018,213,5,河南建业,上海上港,1,2,1,2
2018,213,5,广州恒大淘宝,山东鲁能泰山,1,0,1,0
2018,213,6,重庆斯威,北京中赫国安,3,3,3,2
2018,213,7,上海上港,天津泰达,1,1,0,1
2018,213,5,北京人和,上海绿地申花,0,2,0,1
